,Артикул,Для кого,Примерный вес,Тип металла,Проба,Покрытие,Тип вставки,Форма вставки,Количество,Цвет,Вес,Ширина кольца,Ширина,Высота,Номер страницы,Цена со скидкой,Цена без скидки
108,94012859,Для женщин,1.7,Родированное серебро,925.0,Родирование,Фианит,Круг,1.0,Бесцветный,0.251,2.0,9.0,2.0,3,2070,4590
109,94013251,Для женщин,1.92,Родированное серебро,925.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,2.0,6.0,4.0,3,1890,4190
110,94013220,Для женщин,3.57,Родированное серебро,925.0,Родирование,Без вставок,Без вставок,0.0,Без вставок,0.0,5.0,7.0,4.0,3,4270,9490
111,94013309,Для женщин,3.11,Родированное серебро,925.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,8.0,8.0,2.0,3,3820,8490
112,95010212,Для женщин,10.69,Золочёное серебро,925.0,Золочение,Фианит,Круг,56.0,Бесцветный,0.476,11.0,11.0,3.0,3,7200,15990
113,94012051,Для женщин,2.06,Родированное серебро,925.0,Неизвестно,Фианит,Круг,23.0,Бесцветный,0.196,2.4602927436935533,7.272491669751944,3.3737936154417225,3,1590,1590
114,94012043,Для женщин,3.15,Родированное серебро,925.0,Неизвестно,Фианит,Круг,38.0,Бесцветный,0.627,2.4602927436935533,7.272491669751944,3.3737936154417225,3,4720,10490
115,94010510,Для женщин,4.56,Родированное серебро,925.0,Неизвестно,Фианит,Круг,21.0,Бесцветный,0.599,2.4602927436935533,7.272491669751944,3.3737936154417225,3,5400,11990
116,94012151,Для женщин,2.1,Родированное серебро,925.0,Неизвестно,Фианит,Круг,23.0,Бесцветный,0.196,2.4602927436935533,7.272491669751944,3.3737936154417225,4,1530,3390
117,94012508,Для женщин,1.13,Родированное серебро,925.0,Родирование,Без вставок,Без вставок,0.0,Без вставок,0.0,2.4602927436935533,7.272491669751944,3.3737936154417225,4,1890,4190
118,94013707,Для женщин,1.13,Родированное серебро,925.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,3.0,3.0,1.0,4,1620,3590
119,94013219,Для женщин,3.12,Родированное серебро,925.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,6.0,7.0,2.0,4,3240,7190
120,94013249,Для женщин,4.09,Родированное серебро,925.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,8.0,11.0,2.0,4,3600,7990
121,92011254,Для женщин,1.9,Родированное серебро,925.0,Неизвестно,Топаз,Антик,1.0,Голубой,1.774,2.4602927436935533,7.272491669751944,3.3737936154417225,4,4050,8990
122,94013228,Для женщин,0.97,Родированное серебро,925.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,2.0,2.0,1.0,4,1710,3790
123,94013234,Для женщин,0.85,Родированное серебро,925.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,2.0,2.0,1.0,4,990,2190
124,94012166,Для женщин,1.46,Родированное серебро,925.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,2.4602927436935533,7.272491669751944,3.3737936154417225,4,2250,4990
125,94013733,Для женщин,1.81,Родированное серебро,925.0,"Родирование,  Эмаль",Эмаль,Неизвестно,1.0,Неизвестно,0.48,1.0,21.0,3.0,4,2790,6190
126,95010227,Для женщин,6.21,Чернёное серебро,925.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,5.0,7.272491669751944,3.3737936154417225,4,5850,12990
127,95010208,Для женщин,8.26,Чернёное серебро,925.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,9.0,38.0,8.0,4,5400,11990
128,95010228,Для женщин,3.65,Чернёное серебро,925.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,1.0,7.272491669751944,3.3737936154417225,4,3600,7990
129,94013363,Для женщин,1.08,Родированное серебро,925.0,Неизвестно,Фианит,Круг,13.0,Бесцветный,0.215,2.0,6.0,2.0,4,1710,3790
130,94013270,Для женщин,2.29,Родированное серебро,925.0,Неизвестно,Фианит,Круг,24.0,Бесцветный,2.935,2.0,2.0,3.0,4,2990,2990
131,94011536,Для женщин,1.62,Родированное серебро,925.0,Родирование,Фианит,Круг,42.0,Бесцветный,0.357,2.4602927436935533,7.272491669751944,3.3737936154417225,4,1710,3790
132,83010108,Для женщин,4.61,Родированное серебро,925.0,Неизвестно,Кварц,Овал,1.0,Розовый,8.469,2.0,13.0,7.0,4,3600,7990
133,94013730,Для женщин,3.89,Родированное серебро,925.0,Неизвестно,Фианит,Круг,2.0,Зелёный,0.01,6.0,17.0,3.0,4,3420,7590
134,94013289,Для женщин,2.84,Родированное серебро,925.0,Родирование,Фианит,Сердце,1.0,Бесцветный,0.801,4.0,8.0,6.0,4,3600,7990
135,94013783,Для женщин,2.86,Родированное серебро,925.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,3.0,21.0,3.0,4,3150,6990
136,95010174,Для мужчин,6.09,Чернёное серебро,925.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,9.0,9.0,2.0,4,6070,13490
137,95010119,Для мужчин,4.0,Чернёное серебро,925.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,2.4602927436935533,6.0,2.0,4,3820,8490
138,95010121,Для мужчин,5.02,Чернёное серебро,925.0,Неизвестно,Фианит,Круг,50.0,Чёрный,0.205,2.4602927436935533,8.0,2.0,4,4270,9490
139,95010153,"Для женщин, Для мужчин, Унисекс",3.74,Чернёное серебро,925.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,6.0,6.0,1.0,4,2970,6590
140,94011298,Для женщин,4.07,Родированное серебро,925.0,Неизвестно,Фианит,Круг,49.0,Бесцветный,0.809,2.4602927436935533,7.272491669751944,3.3737936154417225,4,4500,9990
141,87010061,Для женщин,4.15,Родированное серебро,925.0,Неизвестно,Бриллиант (природный),Круг,1.0,Бесцветный,0.004,9.0,9.0,1.0,4,5170,11490
142,94013160,Для женщин,3.22,Родированное серебро,925.0,Родирование,Без вставок,Без вставок,0.0,Без вставок,0.0,12.0,12.0,1.0,4,4500,9990
143,93010577,Для женщин,3.14,Золочёное серебро,925.0,"Золочение,  Родирование",Фианит,Круг,38.0,Бесцветный,0.627,2.4602927436935533,7.272491669751944,3.3737936154417225,4,4500,9990
144,94014090,Для женщин,3.06,Родированное серебро,925.0,Неизвестно,Фианит,Круг,72.0,Бесцветный,0.612,4.0,7.272491669751944,3.3737936154417225,4,2700,5990
145,94013359,Для женщин,1.81,Родированное серебро,925.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,2.4602927436935533,7.272491669751944,3.3737936154417225,4,1710,3790
146,83010065,Для женщин,4.67,Родированное серебро,925.0,Неизвестно,Перламутр,Круг,1.0,Белый,1.937,3.0,23.0,6.0,4,3370,7490
147,1011363,Для женщин,0.85,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,1.0,Бесцветный,0.046,2.4602927436935533,7.272491669751944,3.3737936154417225,4,30600,67990
148,1011384,Для женщин,1.03,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,1.0,Бесцветный,0.056,2.4602927436935533,7.272491669751944,3.3737936154417225,4,38250,84990
149,1010130,Для женщин,1.49,Белое золото,585.0,Неизвестно,Бриллиант (природный),Круг,34.0,Бесцветный,0.099,2.4602927436935533,7.272491669751944,3.3737936154417225,4,45000,99990
150,1012075-3,Для женщин,2.22,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,37.0,Бесцветный,0.366,2.4602927436935533,7.272491669751944,3.3737936154417225,4,135000,299990
